Name,Rank,State
Providence,143,Rhode Island
Newport News,144,"Virginia
"
Rancho Cucamonga,145,"California
"
Santa Rosa,146,"California
"
Peoria,147,"Arizona
"
Oceanside,148,"California
"
Elk Grove,149,"California
"
Salem,150,"Oregon
"
Pembroke Pines,151,"Florida
"
Eugene,152,"Oregon
"
Garden Grove,153,"California
"
Cary,154,"North Carolina
"
Fort Collins,155,"Colorado
"
Corona,156,"California
"
Springfield,157,"Missouri
"
Jackson,158,Mississippi
Alexandria,159,"Virginia
"
Hayward,160,"California
"
Clarksville,161,"Tennessee
"
Lakewood,162,"Colorado
"
Lancaster,163,"California
"
Salinas,164,"California
"
Palmdale,165,"California
"
Hollywood,166,"Florida
"
Springfield,167,"Massachusetts
"
Macon,168,"Georgia
"
Kansas City,169,"Kansas
"
Sunnyvale,170,"California
"
Pomona,171,"California
"
Killeen,172,"Texas
"
Escondido,173,"California
"
Pasadena,174,"Texas
"
Naperville,175,"Illinois
"
Bellevue,176,"Washington
"
Joliet,177,"Illinois
"
Murfreesboro,178,"Tennessee
"
Midland,179,"Texas
"
Rockford,180,"Illinois
"
Paterson,181,"New Jersey
"
Savannah,182,"Georgia
"
Bridgeport,183,Connecticut
Torrance,184,"California
"
McAllen,185,"Texas
"
Syracuse,186,"New York
"
Surprise,187,"Arizona
"
Denton,188,"Texas
"
Roseville,189,"California
"
Thornton,190,"Colorado
"
Miramar,191,"Florida
"
Pasadena,192,"California
"
Mesquite,193,"Texas
"
Olathe,194,"Kansas
"
Dayton,195,"Ohio
"
Carrollton,196,"Texas
"
Waco,197,"Texas
"
Orange,198,"California
"
Fullerton,199,"California
"
Charleston,200,South Carolina
West Valley City,201,"Utah
"
Visalia,202,"California
"
Hampton,203,"Virginia
"
Gainesville,204,"Florida
"
Warren,205,"Michigan
"
Coral Springs,206,"Florida
"
Cedar Rapids,207,"Iowa
"
Round Rock,208,"Texas
"
Sterling Heights,209,"Michigan
"
Kent,210,"Washington
"
Columbia,211,"South Carolina
"
Santa Clara,212,"California
"
New Haven,213,"Connecticut
"
Stamford,214,"Connecticut
"
Concord,215,"California
"
Elizabeth,216,"New Jersey
"
Athens,217,"Georgia
"
Thousand Oaks,218,"California
"
Lafayette,219,"Louisiana
"
Simi Valley,220,"California
"
Topeka,221,"Kansas
"
Norman,222,"Oklahoma
"
Fargo,223,North Dakota
Wilmington,224,"North Carolina
"
Abilene,225,"Texas
"
Odessa,226,"Texas
"
Columbia,227,"Missouri
"
Pearland,228,"Texas
"
Victorville,229,"California
"
Hartford,230,"Connecticut
"
Vallejo,231,"California
"
Allentown,232,"Pennsylvania
"
Berkeley,233,"California
"
Richardson,234,"Texas
"
Arvada,235,"Colorado
"
Ann Arbor,236,"Michigan
"
Rochester,237,"Minnesota
"
Cambridge,238,"Massachusetts
"
Sugar Land,239,"Texas
"
Lansing,240,"Michigan
"
Evansville,241,"Indiana
"
College Station,242,"Texas
"
Fairfield,243,"California
"
Clearwater,244,"Florida
"
Beaumont,245,"Texas
"
Independence,246,"Missouri
"
Provo,247,"Utah
"
West Jordan,248,"Utah
"
Murrieta,249,"California
"
Palm Bay,250,"Florida
"
El Monte,251,"California
"
Carlsbad,252,"California
"
 ,,"South Carolina
"
Temecula,254,"California
"
Clovis,255,"California
"
Springfield,256,"Illinois
"
Meridian,257,"Idaho
"
Westminster,258,"Colorado
"
Costa Mesa,259,"California
"
High Point,260,"North Carolina
"
Manchester,261,New Hampshire
Pueblo,262,"Colorado
"
Lakeland,263,"Florida
"
Pompano Beach,264,"Florida
"
West Palm Beach,265,"Florida
"
Antioch,266,"California
"
Everett,267,"Washington
"
Downey,268,"California
"
Lowell,269,"Massachusetts
"
Centennial,270,"Colorado
"
Elgin,271,"Illinois
"
Richmond,272,"California
"
Peoria,273,"Illinois
"
Broken Arrow,274,"Oklahoma
"
Miami Gardens,275,"Florida
"
Billings,276,Montana
Jurupa Valley,277,"California
"
Sandy Springs,278,"Georgia
"
Gresham,279,"Oregon
"
Lewisville,280,"Texas
"
Hillsboro,281,"Oregon
"
Ventura,282,"California
"
Greeley,283,"Colorado
"
Inglewood,284,"California
"
Waterbury,285,"Connecticut
"
League City,286,"Texas
"
Santa Maria,287,"California
"
Tyler,288,"Texas
"
Davie,289,"Florida
"
Lakewood,290,"New Jersey
"
Daly City,291,"California
"
Boulder,292,"Colorado
"
Allen,293,"Texas
"
West Covina,294,"California
"
Sparks,295,"Nevada
"
Wichita Falls,296,"Texas
"
Green Bay,297,"Wisconsin
"
San Mateo,298,"California
"
Norwalk,299,"California
"
Rialto,300,"California
"
Las Cruces,301,"New Mexico
"
Chico,302,"California
"
El Cajon,303,"California
"
Burbank,304,"California
"
South Bend,305,"Indiana
"
Renton,306,"Washington
"
Vista,307,"California
"
Davenport,308,"Iowa
"
Edinburg,309,"Texas
"
Tuscaloosa,310,"Alabama
"
Carmel,311,"Indiana
"
Spokane Valley,312,"Washington
"
San Angelo,313,"Texas
"
Vacaville,314,"California
"
Clinton,315,"Michigan
"
Bend,316,"Oregon
"
Woodbridge,317,"New Jersey
"
